id,title,releaseDate,genres,theme,bpm,video,Singer,Type
song-1,signal,2020/9/28,J-POP,抗い,172,p7sUv8R-XzE,コッカルカ,オリ曲
song-2,POP☆MUTENKA☆GUM,2020/12/4,J-POP,日常,126,xHj41VSEEhs,コッカルカ,オリ曲
song-3,雪の華/中島美嘉,2020/12/11,ballad,愛,70,sfqZrBRIzl0,コッカルカ,Cover
song-4,夜に駆ける/YOASOBI,2020/12/18,J-POP,愛,130,5DVP76--Img,コッカルカ,Cover
song-5,Continue,2020/12/31,Pop rock,抗い,184,di8QdzeZtys,コッカルカ,オリ曲
song-6,My Sweet Darlin'/矢井田瞳,2021/1/8,Electronic,ファンタジー,145,9h6zYP4RLVk,コッカルカ,Cover
song-7,再会(produced by Ayase)/LiSA×Uru,2021/1/15,ballad,愛,90,C84iIIuv4-M,コッカルカ,Cover
song-8,群青クレイモア,2021/1/29,Pop rock,葛藤,198,aCOO4NHlypM,コッカルカ,オリ曲
song-9,カブトムシ/aiko,2021/2/5,ballad,愛,75,CLIFz-WTo8s,コッカルカ,Cover
song-10,ゴーストルール/DECO*27 ,2021/2/12,Pop rock,葛藤,197,tE1ePqb35UM,コッカルカ,Cover
song-11,平行線/Eve×suis ,2021/2/19,J-POP,日常,120,QIodONQj-1g,コッカルカ,Cover
song-12,Pastel,2021/2/26,J-POP,希望,130,7GZkZJKp9OE,コッカルカ,オリ曲
song-13,らいおんハート/SMAP,2021/3/12,J-POP,希望,65,Na5wfH7Qw5Q,コッカルカ,Cover
song-14,Hell or Heaven,2021/3/26,J-POP,葛藤,142,26YQ2J-dAHQ,コッカルカ,オリ曲
song-15,D.I.Y./BOOGEY VOXX,2021/4/2,Electronic,自己探求,134,7ND9gww5na8,コッカルカ,Cover
song-16,春を告げる/yama,2021/4/9,アニソン,日常,119,xqM1_O9vV2Q,コッカルカ,Cover
song-17,ジャパネスク/キミノミヤ,2021/4/16,Electronic,自己探求,80,4_0YHD089vY,コッカルカ,Cover
song-18,備忘録,2021/4/23,J-POP,愛,133,87gkHMoKIws,コッカルカ,オリ曲
song-19,神のまにまに/れるりり,2021/5/14,J-POP,日常,135,XxTI5HMa5k8,コッカルカ,Cover
song-20,ハッチ,2021/5/28,J-POP,自己探求,111,5E8beFFcYyU,コッカルカ,オリ曲
song-21,ideal self,2021/6/25,Hip Hop,自己探求,128,2X2iBdgruwQ,コッカルカ,コラボ
song-22,君の知らない物語/supercell,2021/8/13,アニソン,愛,164,ADQMfDCcCys,コッカルカ,Cover
song-23,ハンドメイド,2021/11/12,Electronic,葛藤,80,dYUAob1Uy8Y,曇音ルカ,オリ曲
song-24,透明な贈り物,2021/11/26,朗読,愛,0,mvAB02VYYQo,曇音ルカ,朗読
